"";"data_pesquisa";"fonte";"tipo";"titulo";"autores";"macroamb";"revista";"lang_pt";"lang_es";"lang_en";"year";"url";"Citacao";"aborda_governanca";"governanca_e";"bibtex"
"11";2020-11-13;"Scielo, Periódicos Capes, Google Scholar";"Artigo Científico";"Eixos: novo paradigma do planejamento regional? Os eixos de infraestrutura nos PPA´s nacionais, na Iirsa e na macrometrópole paulista";"Tavares, Jeferson Cristiano";NA;"Cadernos Metrópole";TRUE;FALSE;FALSE;2016;"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-99962016000300671&lang=pt";NA;"F";NA;NA
"12";2020-11-20;"Google Scholar";"Artigo Científico";"Evolução da Macrometrópole e Possíveis Intervenções na Disponibilidade Hídrica para os Mananciais -RMSP";"Cátia Rodrigues de Almeida, Benjamim Capellari";NA;"Iniciação-Revista de Iniciação Científica, Tecnológica e Artística";TRUE;FALSE;FALSE;2016;"http://www1.sp.senac.br/hotsites/blogs/revistainiciacao/wp-content/uploads/2016/11/192_IC_artigov6.pdf";NA;"F";NA;NA
"13";2020-11-20;"Google Scholar";"Artigo Científico";"Novas fontes de suprimento de água para a macrometrópole Paulista: reproduzindo crises?";"Arnaldo Tagnin, Renato; Capellari, Benjamin; Rodrigues, Rangel; de Carvalho Damas, Lucas;";NA;"Revista InterfacEHS";TRUE;FALSE;FALSE;2016;"http://www3.sp.senac.br/hotsites/blogs/InterfacEHS/wp-content/uploads/2016/06/6.11.1.pdf";NA;"F";NA;NA
"14";2020-11-13;"Periódicos Capes, Google Scholar";"Artigo Científico";"Desenvolvimento econômico e social no território brasileiro: a expansão metropolitana e a Macrometrópole Paulista";"Paulo Romano Reschilian, Agnes Yuri Uehara";NA;"Revista Política e Planejamento Regional";TRUE;FALSE;FALSE;2016;"https://doaj.org/article/c51d90837e6b485191916cf55eff9681?gathStatIcon=true";NA;"F";NA;NA
"15";2020-11-13;"Scielo, Periódicos Capes, Google Scholar";"Artigo Científico";"A expansão da macrometrópole e a criação de novas RMs: um novo rumo para a metropolização institucional no estado de São Paulo?";"Castro, Henrique Rezende de, Santos Júnior, Wilson Ribeiro dos";NA;"Cadernos Metrópole";TRUE;FALSE;FALSE;2017;"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-99962017000300703&lang=pt";NA;"T";"metropolitana, interfederativa";"@castroExpansaoMacrometropoleCriacao2017"
"16";2020-11-13;"Scielo, Periódicos Capes";"Artigo Científico";"Um olhar demográfico sobre a constituição da macrometrópole paulista: fluxos populacionais, integração e complementaridade";"Silva, Késia Anastacio Alves da, Cunha, José Marcos Pinto da, Ortega, Guilherme Margarido";NA;"Cadernos Metrópole";TRUE;FALSE;FALSE;2017;"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-99962017000300721&lang=pt";NA;"F";NA;NA
"17";2020-11-13;"Scielo, Periódicos Capes, Scopus, Google Scholar";"Artigo Científico";"Formação da macrometrópole no Brasil: Construção teórica e conceituação de uma região de planejamento";"Tavares, Jeferson";NA;"EURE (Santiago)";TRUE;FALSE;FALSE;2018;"http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0250-71612018000300115&lang=pt";NA;"T";"apenas governança";NA
"18";2020-11-20;"Google Scholar";"Artigo Científico";"Aplicação da matriz FPSEEA de saúde ambiental para a macrometrópole paulista: subsídios para o planejamento e gestão socioambiental regional";"Natasha Ceretti Maria, Anne Dorothée Slovic";NA;"Guaju, Revista Brasileira de Desenvolvimento terrritorial sustentável";TRUE;FALSE;FALSE;2018;"https://revistas.ufpr.br/guaju/article/view/58642";NA;"F";NA;NA
"19";2020-11-13;"Scielo, Google Scholar";"Artigo Científico";"Conflitos na macrometrópole paulista pela perspectiva da crise hídrica";"Richter, Renato Mauro, Jacobi, Pedro Roberto";"VERDADEIRO";"Revista Brasileira de Estudos Urbanos e Regionais";TRUE;FALSE;TRUE;2018;"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-15292018000300556&lang=pt";NA;"T";"água, participativa, ambiental, democrática";"@richterConflitosNaMacrometropole2018"
"20";2020-11-13;"Periódicos Capes, Google Scholar";"Artigo Científico";"Aplicação do AHP para Hierarquização e Sequenciamento de Projetos da Macrometrópole Paulista";"Ana Claudia Torre, Rosária de Fátima Segger Macri Russo, Roberto Camanho";NA;"Revista Inovação, Projetos e Tecnologias – IPTEC";TRUE;FALSE;FALSE;2018;"https://periodicos.uninove.br/iptec/article/view/9385";NA;"F";NA;NA
"21";2020-11-13;"Scielo, Periódicos Capes, Google Scholar";"Artigo Científico";"Perspectivas do planejamento regional do Vale do Paraíba e litoral norte: marcos históricos e a institucionalização da região metropolitana no Plano de Ação da Macrometrópole Paulista";"Gomes, Cilene, Reschilian, Paulo Romano, Uehara, Agnes Yuri";NA;"urbe. Revista Brasileira de Gestão Urbana";TRUE;FALSE;FALSE;2018;"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692018000100154&lang=pt";NA;"T";"interfederativa, metropolitana";"@gomesPerspectivasPlanejamentoRegional2018"
"22";2020-11-13;"Scielo, Periódicos Capes, Google Scholar";"Artigo Científico";"CONFLITOS AMBIENTAIS NA MACROMETRÓPOLE PAULISTA: PARANAPIACABA E SÃO SEBASTIÃO";"TORRES, PEDRO HENRIQUE CAMPELLO, RAMOS, RUTH FERREIRA, GONÇALVES, LEANDRA REGINA";"VERDADEIRO";"Ambiente & Sociedade";TRUE;FALSE;TRUE;2019;"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2019000100316&lang=pt";NA;"T";"metropolitana";"@torresENVIRONMENTALCONFLICTSSAO2019"
"23";2020-11-13;"Scielo, Google Scholar";"Artigo Científico";"A macrometropolização em São Paulo: reterritorialização, reescalonamento e a cidade-região";"Torres, Pedro Henrique Campello, Ramos, Ruth Ferreira, Pollachi, Amauri";"VERDADEIRO";"Cadernos Metrópole";TRUE;FALSE;FALSE;2019;"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-99962020000100103&lang=pt";NA;"T";"apenas governança";"@torresMacrometropolizationSaoPaulo2020"
"24";2020-11-13;"Scielo, Periódicos Capes, Google Scholar";"Artigo Científico";"Caminhos e descaminhos da macrometrópole paulista: dinâmica econômica, condicionantes externos e perspectivas";"Abdal, Alexandre, Macedo, Caio César Ferreira de, Rossini, Gabriel Almeida Antunes, Gaspar, Ricardo Carlos";NA;"Cadernos Metrópole";TRUE;FALSE;FALSE;2019;"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-99962019000100145&lang=pt";NA;"F";NA;NA
"25";2020-11-13;"Scielo, Google Scholar";"Artigo Científico";"Imigração internacional na macrometrópole paulista: novas e velhas questões";"Baeninger, Rosana, Demétrio, Natália Belmonte, Domeniconi, Jóice";NA;"Cadernos Metrópole";TRUE;FALSE;FALSE;2019;"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-99962020000100017&lang=pt";NA;"F";NA;NA
"26";2020-11-13;"Scielo, Google Scholar";"Artigo Científico";"Macrometrópole paulista: estrutura sócio-ocupacional e tipologia dos municípios - Mudanças na primeira década dos anos 2000";"Pasternak, Suzana, Bógus, Lúcia Maria";NA;"Revista Brasileira de Estudos Urbanos e Regionais";TRUE;FALSE;FALSE;2019;"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-15292019000200431&lang=pt";NA;"F";NA;NA
